customer_id,customer_name,gender,age,city,state,signup_date
CUST00001,Ananya Sharma,Male,26,Pune,Maharashtra,2024-05-16
CUST00002,Ananya Khan,Other,45,Jaipur,Rajasthan,2023-06-28
CUST00003,Aditi Sharma,Male,50,Delhi,Delhi,2024-03-23
CUST00004,Shreya Sharma,Other,59,Jaipur,Rajasthan,2024-02-12
CUST00005,Simran Desai,Other,35,Hyderabad,Telangana,2025-07-08
CUST00006,Aarav Rao,Female,35,Bangalore,Karnataka,2025-05-15
CUST00007,Rahul Shah,Male,42,Chennai,Tamil Nadu,2023-07-29
CUST00008,Ananya Joshi,Male,64,Chennai,Tamil Nadu,2024-06-25
CUST00009,Kabir Kulkarni,Male,53,Delhi,Delhi,2025-02-14
CUST00010,Isha Mishra,Other,30,Lucknow,Uttar Pradesh,2025-01-10
CUST00011,Arjun Sharma,Male,32,Hyderabad,Telangana,2024-08-15
CUST00012,Ananya Desai,Other,41,Pune,Maharashtra,2025-07-17
CUST00013,Priya Joshi,Other,35,Chennai,Tamil Nadu,2024-03-05
CUST00014,Arjun Singh,Other,33,Bangalore,Karnataka,2025-12-29
CUST00015,Priya Verma,Other,62,Kolkata,West Bengal,2024-07-06
CUST00016,Simran Shah,Male,20,Chennai,Tamil Nadu,2023-04-25
CUST00017,Aditya Desai,Male,54,Pune,Maharashtra,2023-05-16
CUST00018,Aditya Shah,Other,47,Ahmedabad,Gujarat,2025-03-21
CUST00019,Rahul Gupta,Other,53,Bangalore,Karnataka,2024-05-20
CUST00020,Simran Gupta,Other,43,Lucknow,Uttar Pradesh,2025-05-27
CUST00021,Neha Shah,Female,23,Bangalore,Karnataka,2025-11-09
CUST00022,Aditi Mishra,Other,28,Delhi,Delhi,2023-11-10
CUST00023,Pooja Singh,Female,56,Delhi,Delhi,2025-02-27
CUST00024,Kabir Kulkarni,Other,64,Pune,Maharashtra,2023-01-24
CUST00025,Ananya Khan,Other,39,Jaipur,Rajasthan,2024-06-30
CUST00026,Ananya Gupta,Female,18,Kolkata,West Bengal,2023-11-20
CUST00027,Karan Kulkarni,Male,58,Bangalore,Karnataka,2025-11-05
CUST00028,Isha Mishra,Male,41,Jaipur,Rajasthan,2024-02-12
CUST00029,Priya Kulkarni,Other,38,Jaipur,Rajasthan,2023-01-02
CUST00030,Riya Sharma,Female,33,Delhi,Delhi,2025-01-13
CUST00031,Aditi Shah,Male,64,Lucknow,Uttar Pradesh,2023-06-11
CUST00032,Riya Mishra,Male,26,Delhi,Delhi,2025-12-26
CUST00033,Riya Kulkarni,Other,56,Bangalore,Karnataka,2024-06-26
CUST00034,Pooja Shah,Other,37,Jaipur,Rajasthan,2024-02-16
CUST00035,Vikram Khan,Other,46,Chennai,Tamil Nadu,2025-06-16
CUST00036,Ananya Shah,Female,19,Hyderabad,Telangana,2023-05-12
CUST00037,Aman Kulkarni,Male,22,Hyderabad,Telangana,2024-03-27
CUST00038,Aditi Shah,Female,22,Delhi,Delhi,2023-03-06
CUST00039,Yash Shah,Male,52,Pune,Maharashtra,2025-09-21
CUST00040,Rahul Nair,Male,48,Lucknow,Uttar Pradesh,2025-08-26
CUST00041,Pooja Shah,Other,45,Delhi,Delhi,2023-07-18
CUST00042,Neha Desai,Other,21,Kolkata,West Bengal,2025-08-14
CUST00043,Ananya Sharma,Male,33,Kolkata,West Bengal,2024-11-25
CUST00044,Rohan Shah,Male,45,Jaipur,Rajasthan,2025-07-07
CUST00045,Priya Gupta,Male,46,Ahmedabad,Gujarat,2024-05-26
CUST00046,Simran Patel,Male,33,Mumbai,Maharashtra,2023-01-31
CUST00047,Priya Desai,Male,43,Ahmedabad,Gujarat,2025-09-12
CUST00048,Aditi Mehta,Female,34,Kolkata,West Bengal,2023-01-05
CUST00049,Kabir Gupta,Male,30,Kolkata,West Bengal,2025-09-23
CUST00050,Isha Shah,Other,38,Mumbai,Maharashtra,2023-05-05
CUST00051,Aditi Sharma,Other,51,Lucknow,Uttar Pradesh,2025-09-03
CUST00052,Priya Sharma,Male,22,Jaipur,Rajasthan,2023-06-14
CUST00053,Shreya Patel,Male,54,Hyderabad,Telangana,2025-04-06
